file,sfreq,n_ch,classes,counts,kept,dropped,drop_rate
epochs_S004R10-epo.fif,160.0,64,both_fists/both_feet,1:6;2:7,13,2,0.13333333333333333
epochs_S004R11-epo.fif,160.0,64,left/right,1:2;2:1,3,12,0.8
epochs_S004R12-epo.fif,160.0,64,,,0,15,1.0
epochs_S004R13-epo.fif,160.0,64,,,0,15,1.0
epochs_S004R14-epo.fif,160.0,64,both_fists/both_feet,2:1,1,14,0.9333333333333333
epochs_S005R03-epo.fif,160.0,64,,,0,15,1.0
epochs_S005R04-epo.fif,160.0,64,,,0,15,1.0
epochs_S005R05-epo.fif,160.0,64,,,0,15,1.0
epochs_S005R06-epo.fif,160.0,64,both_fists/both_feet,1:1,1,14,0.9333333333333333
epochs_S005R07-epo.fif,160.0,64,,,0,15,1.0
epochs_S005R08-epo.fif,160.0,64,,,0,15,1.0
epochs_S005R09-epo.fif,160.0,64,,,0,15,1.0
epochs_S005R10-epo.fif,160.0,64,,,0,15,1.0
epochs_S005R11-epo.fif,160.0,64,,,0,15,1.0
epochs_S005R12-epo.fif,160.0,64,,,0,15,1.0
epochs_S005R13-epo.fif,160.0,64,both_fists/both_feet,2:2,2,13,0.8666666666666667
epochs_S005R14-epo.fif,160.0,64,both_fists/both_feet,1:4;2:1,5,10,0.6666666666666666
epochs_S006R03-epo.fif,160.0,64,left/right,1:3;2:4,7,8,0.5333333333333333
epochs_S006R04-epo.fif,160.0,64,left/right,1:6;2:4,10,5,0.3333333333333333
epochs_S006R05-epo.fif,160.0,64,both_fists/both_feet,1:6;2:6,12,3,0.2
epochs_S006R06-epo.fif,160.0,64,both_fists/both_feet,1:7;2:6,13,2,0.13333333333333333
epochs_S006R07-epo.fif,160.0,64,left/right,1:3;2:1,4,11,0.7333333333333333
epochs_S006R08-epo.fif,160.0,64,left/right,1:1;2:2,3,12,0.8
epochs_S006R09-epo.fif,160.0,64,both_fists/both_feet,2:1,1,14,0.9333333333333333
epochs_S006R10-epo.fif,160.0,64,both_fists/both_feet,1:2,2,13,0.8666666666666667
epochs_S006R11-epo.fif,160.0,64,,,0,15,1.0
epochs_S006R12-epo.fif,160.0,64,left/right,1:1;2:3,4,11,0.7333333333333333
epochs_S006R13-epo.fif,160.0,64,both_fists/both_feet,1:6;2:7,13,2,0.13333333333333333
epochs_S006R14-epo.fif,160.0,64,both_fists/both_feet,1:6;2:6,12,3,0.2
epochs_S007R03-epo.fif,160.0,64,,,0,15,1.0
epochs_S007R04-epo.fif,160.0,64,left/right,1:3;2:1,4,11,0.7333333333333333
epochs_S007R05-epo.fif,160.0,64,both_fists/both_feet,2:1,1,14,0.9333333333333333
epochs_S007R06-epo.fif,160.0,64,both_fists/both_feet,1:1;2:4,5,10,0.6666666666666666
epochs_S007R07-epo.fif,160.0,64,,,0,15,1.0
epochs_S007R08-epo.fif,160.0,64,left/right,1:3;2:4,7,8,0.5333333333333333
epochs_S007R09-epo.fif,160.0,64,,,0,15,1.0
epochs_S007R10-epo.fif,160.0,64,both_fists/both_feet,1:4;2:4,8,7,0.4666666666666667
epochs_S007R11-epo.fif,160.0,64,left/right,2:2,2,13,0.8666666666666667
epochs_S007R12-epo.fif,160.0,64,left/right,1:4;2:3,7,8,0.5333333333333333
epochs_S007R13-epo.fif,160.0,64,both_fists/both_feet,2:1,1,14,0.9333333333333333
epochs_S007R14-epo.fif,160.0,64,both_fists/both_feet,1:2;2:3,5,10,0.6666666666666666
epochs_S008R03-epo.fif,160.0,64,left/right,1:5;2:1,6,9,0.6
epochs_S008R04-epo.fif,160.0,64,left/right,1:5;2:7,12,3,0.2
epochs_S008R05-epo.fif,160.0,64,both_fists/both_feet,1:3;2:2,5,10,0.6666666666666666
epochs_S008R06-epo.fif,160.0,64,both_fists/both_feet,1:4;2:3,7,8,0.5333333333333333
epochs_S008R07-epo.fif,160.0,64,left/right,1:6;2:6,12,3,0.2
epochs_S008R08-epo.fif,160.0,64,left/right,1:6;2:4,10,5,0.3333333333333333
epochs_S008R09-epo.fif,160.0,64,both_fists/both_feet,1:6;2:6,12,3,0.2
epochs_S008R10-epo.fif,160.0,64,both_fists/both_feet,1:6;2:4,10,5,0.3333333333333333
epochs_S008R11-epo.fif,160.0,64,left/right,1:7;2:5,12,3,0.2
epochs_S008R12-epo.fif,160.0,64,left/right,1:6;2:6,12,3,0.2
epochs_S008R13-epo.fif,160.0,64,both_fists/both_feet,1:6;2:6,12,3,0.2
epochs_S008R14-epo.fif,160.0,64,both_fists/both_feet,1:7;2:4,11,4,0.26666666666666666
epochs_S009R03-epo.fif,160.0,64,,,0,15,1.0
epochs_S009R04-epo.fif,160.0,64,,,0,15,1.0
epochs_S009R05-epo.fif,160.0,64,,,0,15,1.0
epochs_S009R06-epo.fif,160.0,64,,,0,15,1.0
epochs_S009R07-epo.fif,160.0,64,,,0,15,1.0
epochs_S009R08-epo.fif,160.0,64,,,0,15,1.0
epochs_S009R09-epo.fif,160.0,64,,,0,15,1.0
epochs_S009R10-epo.fif,160.0,64,,,0,15,1.0
epochs_S009R11-epo.fif,160.0,64,,,0,15,1.0
epochs_S009R12-epo.fif,160.0,64,,,0,15,1.0
epochs_S009R13-epo.fif,160.0,64,,,0,15,1.0
epochs_S009R14-epo.fif,160.0,64,,,0,15,1.0
epochs_S010R03-epo.fif,160.0,64,,,0,15,1.0
epochs_S010R04-epo.fif,160.0,64,,,0,15,1.0
epochs_S010R05-epo.fif,160.0,64,,,0,15,1.0
epochs_S010R06-epo.fif,160.0,64,,,0,15,1.0
epochs_S010R07-epo.fif,160.0,64,,,0,15,1.0
epochs_S010R08-epo.fif,160.0,64,,,0,15,1.0
epochs_S010R09-epo.fif,160.0,64,,,0,15,1.0
epochs_S010R10-epo.fif,160.0,64,,,0,15,1.0
epochs_S010R11-epo.fif,160.0,64,left/right,1:1;2:2,3,12,0.8
epochs_S010R12-epo.fif,160.0,64,,,0,15,1.0
epochs_S010R13-epo.fif,160.0,64,both_fists/both_feet,1:3,3,12,0.8
epochs_S010R14-epo.fif,160.0,64,both_fists/both_feet,1:1,1,14,0.9333333333333333
epochs_S011R03-epo.fif,160.0,64,left/right,1:3;2:7,10,5,0.3333333333333333
epochs_S011R04-epo.fif,160.0,64,left/right,1:7;2:5,12,3,0.2
epochs_S011R05-epo.fif,160.0,64,both_fists/both_feet,1:5;2:6,11,4,0.26666666666666666
epochs_S011R06-epo.fif,160.0,64,both_fists/both_feet,1:7;2:6,13,2,0.13333333333333333
epochs_S011R07-epo.fif,160.0,64,left/right,1:5;2:5,10,5,0.3333333333333333
epochs_S011R08-epo.fif,160.0,64,left/right,1:7;2:8,15,0,0.0
epochs_S011R09-epo.fif,160.0,64,both_fists/both_feet,1:6;2:7,13,2,0.13333333333333333
epochs_S011R10-epo.fif,160.0,64,both_fists/both_feet,1:7;2:7,14,1,0.06666666666666667
epochs_S011R11-epo.fif,160.0,64,left/right,1:5;2:7,12,3,0.2
epochs_S011R12-epo.fif,160.0,64,left/right,1:7;2:7,14,1,0.06666666666666667
epochs_S011R13-epo.fif,160.0,64,both_fists/both_feet,1:6;2:6,12,3,0.2
epochs_S011R14-epo.fif,160.0,64,both_fists/both_feet,1:7;2:7,14,1,0.06666666666666667
epochs_S012R03-epo.fif,160.0,64,,,0,15,1.0
epochs_S012R04-epo.fif,160.0,64,left/right,1:1,1,14,0.9333333333333333
epochs_S012R05-epo.fif,160.0,64,,,0,15,1.0
epochs_S012R06-epo.fif,160.0,64,,,0,15,1.0
epochs_S012R07-epo.fif,160.0,64,,,0,15,1.0
epochs_S012R08-epo.fif,160.0,64,left/right,2:1,1,14,0.9333333333333333
epochs_S012R09-epo.fif,160.0,64,,,0,15,1.0
epochs_S012R10-epo.fif,160.0,64,,,0,15,1.0
epochs_S012R11-epo.fif,160.0,64,left/right,1:1,1,14,0.9333333333333333
epochs_S012R12-epo.fif,160.0,64,left/right,2:1,1,14,0.9333333333333333
epochs_S012R13-epo.fif,160.0,64,,,0,15,1.0
epochs_S012R14-epo.fif,160.0,64,,,0,15,1.0
epochs_S013R03-epo.fif,160.0,64,,,0,15,1.0
epochs_S013R04-epo.fif,160.0,64,,,0,15,1.0
epochs_S013R05-epo.fif,160.0,64,,,0,15,1.0
epochs_S013R06-epo.fif,160.0,64,,,0,15,1.0
epochs_S013R07-epo.fif,160.0,64,,,0,15,1.0
epochs_S013R08-epo.fif,160.0,64,,,0,15,1.0
epochs_S013R09-epo.fif,160.0,64,,,0,15,1.0
epochs_S013R10-epo.fif,160.0,64,,,0,15,1.0
epochs_S013R11-epo.fif,160.0,64,,,0,15,1.0
epochs_S013R12-epo.fif,160.0,64,,,0,15,1.0
epochs_S013R13-epo.fif,160.0,64,,,0,15,1.0
epochs_S013R14-epo.fif,160.0,64,,,0,15,1.0
epochs_S014R03-epo.fif,160.0,64,left/right,1:7;2:5,12,3,0.2
epochs_S014R04-epo.fif,160.0,64,left/right,1:3;2:4,7,8,0.5333333333333333
epochs_S014R05-epo.fif,160.0,64,both_fists/both_feet,1:4;2:4,8,7,0.4666666666666667
epochs_S014R06-epo.fif,160.0,64,both_fists/both_feet,1:3,3,12,0.8
epochs_S014R07-epo.fif,160.0,64,left/right,1:2;2:5,7,8,0.5333333333333333
epochs_S014R08-epo.fif,160.0,64,left/right,1:4;2:7,11,4,0.26666666666666666
epochs_S014R09-epo.fif,160.0,64,both_fists/both_feet,1:5;2:2,7,8,0.5333333333333333
epochs_S014R10-epo.fif,160.0,64,both_fists/both_feet,1:5;2:5,10,5,0.3333333333333333
epochs_S014R11-epo.fif,160.0,64,left/right,1:3;2:3,6,9,0.6
epochs_S014R12-epo.fif,160.0,64,left/right,1:5;2:2,7,8,0.5333333333333333
epochs_S014R13-epo.fif,160.0,64,both_fists/both_feet,1:3;2:4,7,8,0.5333333333333333
epochs_S014R14-epo.fif,160.0,64,both_fists/both_feet,1:4;2:4,8,7,0.4666666666666667
epochs_S015R03-epo.fif,160.0,64,,,0,15,1.0
epochs_S015R04-epo.fif,160.0,64,,,0,15,1.0
epochs_S015R05-epo.fif,160.0,64,,,0,15,1.0
epochs_S015R06-epo.fif,160.0,64,,,0,15,1.0
epochs_S015R07-epo.fif,160.0,64,,,0,15,1.0
epochs_S015R08-epo.fif,160.0,64,,,0,15,1.0
epochs_S015R09-epo.fif,160.0,64,,,0,15,1.0
epochs_S015R10-epo.fif,160.0,64,,,0,15,1.0
epochs_S015R11-epo.fif,160.0,64,,,0,15,1.0
epochs_S015R12-epo.fif,160.0,64,,,0,15,1.0
epochs_S015R13-epo.fif,160.0,64,,,0,15,1.0
epochs_S015R14-epo.fif,160.0,64,,,0,15,1.0
